"TOA5","CR1000_2","CR1000","E6293","CR1000.Std.25","CPU:lautaret-radiation-station.CR1","10380","Table1"
"TIMESTAMP","RECORD","AirTC_Avg","RH","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","SUp_Avg","SDn_Avg","LUp_Avg","LDn_Avg","CNR4TC_Avg","CNR4TK_Avg","LUpCo_Avg","LDnCo_Avg"
"TS","RN","Deg C","%","meters/second","Deg","Deg","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2"
"","","Avg","Smp","WVc","WVc","WVc","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-03-04 14:24:00",12908,9.9,47.72,0,0,0,-12.72,-12.34,66.72,55.35,13.55,286.7,449.8,438.5
"2019-03-04 15:18:00",12909,-2.414,59.7,6.392,202.5,0,154.7,189.2,-12.95,-48.29,-2.386,270.8,291.8,256.5
"2019-03-04 15:19:00",12910,-2.353,59.48,7.75,202.5,0.032,153.7,184.1,-12.92,-49.09,-2.477,270.7,291.4,255.2
"2019-03-04 15:20:00",12911,-2.319,57.76,6.712,202.5,0.01,159,188.5,-12.52,-44.27,-2.541,270.6,291.5,259.8
"2019-03-04 15:21:00",12912,-2.263,59.91,7.962,202.5,0.035,182.6,216.7,-12.21,-42.36,-2.639,270.5,291.4,261.3
"2019-03-04 15:22:00",12913,-2.274,59.01,7.925,202.5,0.024,211.6,251.9,-12.15,-47.42,-2.616,270.5,291.6,256.3
"2019-03-04 15:23:00",12914,-2.295,59.84,6.925,202.5,0.024,191.5,229.6,-12.71,-55.53,-2.621,270.5,291,248.2
"2019-03-04 15:24:00",12915,-2.357,59.61,7.488,202.5,0.024,159.3,193.2,-13.02,-61.75,-2.681,270.5,290.4,241.7
"2019-03-04 15:25:00",12916,-2.394,60.31,7.575,202.5,0.024,124.5,151.4,-13.63,-68.05,-2.773,270.4,289.4,235
"2019-03-04 15:26:00",12917,-2.469,61.05,7.387,202.4,0.008,109,130.7,-13.29,-66.21,-2.873,270.3,289.3,236.4
"2019-03-04 15:27:00",12918,-2.536,59.9,8.08,202.4,0.021,111.4,132.6,-12.55,-55.73,-3.006,270.1,289.4,246.2
"2019-03-04 15:28:00",12919,-2.551,60.9,8.25,202.4,0.026,113.4,133.9,-11.75,-43.57,-3.107,270,289.8,257.9
"2019-03-04 15:29:00",12920,-2.59,61.56,8.29,202.4,0,117.6,138.2,-10.77,-35.57,-3.229,269.9,290.2,265.4
"2019-03-04 15:30:00",12921,-2.613,61.71,7.463,202.4,0.024,125.3,147.2,-10.36,-31.18,-3.232,269.9,290.6,269.8
"2019-03-04 15:31:00",12922,-2.603,62.3,7.075,202.4,0.028,141.1,164.4,-10.03,-28.97,-3.259,269.9,290.8,271.9
"2019-03-04 15:32:00",12923,-2.571,62.61,5.862,202.5,0.024,157.3,182.7,-9.99,-28.3,-3.227,269.9,291,272.7
"2019-03-04 15:33:00",12924,-2.521,62.96,5.6,202.5,0.006,173.7,203.8,-9.99,-29.41,-3.164,270,291.3,271.9
"2019-03-04 15:34:00",12925,-2.454,61.13,5.713,202.5,0.02,172.9,204.7,-9.99,-31.32,-3.108,270,291.5,270.2
"2019-03-04 15:35:00",12926,-2.412,62.74,5.563,202.5,0.02,163.9,194.3,-10.4,-32.69,-3.055,270.1,291.4,269.1
"2019-03-04 15:36:00",12927,-2.438,62.04,8.34,202.5,0.008,151.4,179.3,-10.61,-33.09,-3.045,270.1,291.2,268.7
"2019-03-04 15:37:00",12928,-2.554,63.57,7.487,202.5,0.027,146,173,-10.49,-32.56,-3.074,270.1,291.2,269.1
"2019-03-04 15:38:00",12929,-2.644,62.34,7.238,202.4,0.013,129.5,152.7,-10.24,-31.55,-3.109,270,291.3,270
"2019-03-04 15:39:00",12930,-2.607,61.52,6.138,202.5,0.013,111.9,130.2,-10.09,-29.88,-3.098,270.1,291.5,271.7
"2019-03-04 15:40:00",12931,-2.576,61.48,6.425,202.4,0.025,106.5,123.1,-10.03,-28.24,-3.193,270,291.1,272.9
"2019-03-04 15:41:00",12932,-2.563,59.81,7.2,202.4,0.014,104,120.1,-10,-27.64,-3.208,269.9,291.1,273.4
"2019-03-04 15:42:00",12933,-2.517,60.63,6.012,202.4,0.021,103.3,119.6,-10,-27.74,-3.231,269.9,291,273.2
"2019-03-04 15:43:00",12934,-2.495,59.88,6.85,202.5,0.024,99.8,115.9,-10,-28.27,-3.252,269.9,290.9,272.6
"2019-03-04 15:44:00",12935,-2.461,59.24,6.987,202.4,0.02,95.5,110.5,-10,-28.14,-3.247,269.9,290.9,272.8
"2019-03-04 15:45:00",12936,-2.443,59.69,6.5,202.4,0.02,93,107.6,-10,-27.61,-3.243,269.9,290.9,273.3
"2019-03-04 15:46:00",12937,-2.49,59.95,6.813,202.4,0.014,86.5,99.8,-10,-26.94,-3.208,269.9,291.1,274.1
"2019-03-04 15:47:00",12938,-2.525,58.83,4.325,202.4,0,78.31,90.1,-10,-26.6,-3.171,270,291.2,274.6
"2019-03-04 15:48:00",12939,-2.505,60.07,7.425,202.4,0.02,71.14,81.3,-10,-25.76,-3.266,269.9,290.8,275
"2019-03-04 15:49:00",12940,-2.567,60.31,6.65,202.4,0.02,64.37,73.29,-10,-24.86,-3.342,269.8,290.5,275.6
"2019-03-04 15:50:00",12941,-2.576,60.79,5.9,202.4,0.02,61.52,69.91,-10,-24.52,-3.392,269.8,290.2,275.7
"2019-03-04 15:51:00",12942,-2.584,60.79,5.875,202.5,0.008,60.01,68.22,-10,-24.39,-3.36,269.8,290.4,276
"2019-03-04 15:52:00",12943,-2.571,60.62,5.8,202.5,0.008,64.08,72.97,-9.66,-23.72,-3.387,269.8,290.6,276.5
"2019-03-04 15:53:00",12944,-2.547,59.79,6.2,202.5,0.024,68.23,77.8,-9.63,-23.55,-3.465,269.7,290.3,276.4
"2019-03-04 15:54:00",12945,-2.501,59.06,7.2,202.5,0.011,73.77,84.4,-9.63,-23.05,-3.457,269.7,290.3,276.9
"2019-03-04 15:55:00",12946,-2.565,61.11,8.58,202.5,0.032,76.18,86.9,-9.69,-22.78,-3.472,269.7,290.2,277.1
"2019-03-04 15:56:00",12947,-2.676,62.14,8.5,202.5,0.021,88,100.9,-9.54,-21.98,-3.495,269.7,290.3,277.8
"2019-03-04 15:57:00",12948,-2.724,63.18,7.262,202.5,0.028,86.6,100,-9.07,-21.31,-3.541,269.6,290.5,278.3
"2019-03-04 15:58:00",12949,-2.744,63.63,6.375,202.5,0.011,80.2,92,-8.89,-20.87,-3.543,269.6,290.7,278.7
"2019-03-04 15:59:00",12950,-2.73,62.08,6.587,202.5,0.019,79.24,91.3,-8.89,-21.01,-3.544,269.6,290.7,278.6
